Dimmunity,sigma,avg_time,max_time,num_strains,avg_time_repeat,var_time_repeat,avg_prev,var_prev,avg_div,var_div,max_abundance,avg_npmi,div_all_isolates
5.000000000000000000e-01,1.000000000000000056e-01,1.663636363636363669e+01,2.300000000000000000e+01,1.100000000000000000e+01,1.151162790697674465e+00,1.380524955800354059e+00,9.934782608695651618e+01,2.516964426877470487e+03,7.956521739130434590e+00,8.616600790513833097e-01,5.200000000000000000e+01,-3.966274537976561820e-01,6.093660605239744399e+00
5.000000000000000000e-01,2.000000000000000111e-01,1.839999999999999858e+01,2.300000000000000000e+01,1.000000000000000000e+01,1.057471264367816133e+00,7.760281708856557603e-02,9.286956521739129755e+01,2.241664031620553487e+03,8.000000000000000000e+00,8.181818181818182323e-01,5.400000000000000000e+01,-4.054633425845727279e-01,6.455318847759926371e+00
5.000000000000000000e-01,3.000000000000000444e-01,1.633333333333333215e+01,2.300000000000000000e+01,1.500000000000000000e+01,1.056521739130434678e+00,7.976077463451677896e-02,8.617391304347826519e+01,1.935150197628458500e+03,1.065217391304347849e+01,1.873517786561264886e+00,3.900000000000000000e+01,-1.416106182174025341e-01,9.417043219647910135e+00
5.000000000000000000e-01,4.000000000000000222e-01,1.778571428571428470e+01,2.300000000000000000e+01,1.400000000000000000e+01,1.106382978723404298e+00,7.877795962902344185e-01,8.404347826086956275e+01,1.926134387351779196e+03,1.082608695652173836e+01,3.332015810276680146e+00,3.100000000000000000e+01,-1.669440237032068231e-01,1.164377958058702767e+01
5.000000000000000000e-01,5.000000000000000000e-01,1.792857142857142705e+01,2.300000000000000000e+01,1.400000000000000000e+01,1.054852320675105481e+00,6.053779589501536579e-02,7.947826086956521863e+01,1.707806324110671994e+03,1.091304347826086918e+01,3.083003952569171258e+00,3.400000000000000000e+01,-1.580597424617848357e-01,1.169308657017414887e+01
5.000000000000000000e-01,5.999999999999999778e-01,1.700000000000000000e+01,2.300000000000000000e+01,1.500000000000000000e+01,1.058333333333333348e+00,6.352859135285912617e-02,7.117391304347826519e+01,1.334422924901185752e+03,1.108695652173913082e+01,2.901185770750988269e+00,2.100000000000000000e+01,-1.023254840254891190e-01,1.143396548632517273e+01
5.000000000000000000e-01,6.999999999999999556e-01,1.784615384615384670e+01,2.200000000000000000e+01,1.300000000000000000e+01,1.123287671232876761e+00,1.911524443885886937e-01,6.226086956521739069e+01,1.075928853754940747e+03,1.008695652173913082e+01,4.628458498023714895e+00,2.600000000000000000e+01,-2.322214921893556716e-01,1.101893853847394666e+01
5.000000000000000000e-01,7.999999999999999334e-01,1.462500000000000000e+01,2.100000000000000000e+01,1.600000000000000000e+01,1.087155963302752326e+00,1.167927958398511656e-01,5.873913043478260931e+01,9.262015810276676575e+02,1.017391304347826164e+01,3.968379446640316832e+00,2.300000000000000000e+01,-1.030196837314948655e-01,1.383255468252282938e+01
5.000000000000000000e-01,8.999999999999999112e-01,1.630769230769230660e+01,2.100000000000000000e+01,1.300000000000000000e+01,1.120603015075376963e+00,2.076036749403583903e-01,5.008695652173913260e+01,6.982648221343872592e+02,9.217391304347826164e+00,3.905138339920948276e+00,2.300000000000000000e+01,-2.918039550158418316e-01,1.119135719108710347e+01
5.000000000000000000e-01,9.999999999999998890e-01,1.326666666666666750e+01,2.300000000000000000e+01,1.500000000000000000e+01,1.076086956521739024e+00,1.034687574245663905e-01,4.234782608695652328e+01,4.527826086956521863e+02,8.652173913043478493e+00,2.600790513833991735e+00,3.000000000000000000e+01,-2.653547886756142393e-01,1.090440685766885309e+01
1.500000000000000000e+00,1.000000000000000056e-01,1.587500000000000000e+01,2.300000000000000000e+01,8.000000000000000000e+00,1.016806722689075571e+00,1.666429283577838122e-02,9.721739130434782794e+01,2.286632411067193971e+03,5.521739130434782261e+00,4.426877470355731758e-01,6.000000000000000000e+01,-4.546566366242480450e-01,4.380785576032987905e+00
1.500000000000000000e+00,2.000000000000000111e-01,1.519999999999999929e+01,2.300000000000000000e+01,1.500000000000000000e+01,1.028169014084507005e+00,3.693861280892905136e-02,9.073913043478260931e+01,2.160292490118577007e+03,9.913043478260869179e+00,1.901185770750987603e+00,3.600000000000000000e+01,-1.871570305005683943e-01,9.136872106347880163e+00
1.500000000000000000e+00,3.000000000000000444e-01,1.440000000000000036e+01,2.300000000000000000e+01,1.500000000000000000e+01,1.104477611940298587e+00,3.140298507462686572e-01,7.765217391304348382e+01,1.640600790513834227e+03,9.391304347826087806e+00,1.612648221343873534e+00,4.500000000000000000e+01,-2.511731483090938744e-01,8.295498899314608821e+00
1.500000000000000000e+00,4.000000000000000222e-01,1.753846153846154010e+01,2.300000000000000000e+01,1.300000000000000000e+01,1.060465116279069697e+00,8.511193218865466259e-02,6.995652173913043725e+01,1.132952569169960270e+03,9.913043478260869179e+00,2.901185770750987380e+00,2.700000000000000000e+01,-2.550641574577747206e-01,9.851320478844924011e+00
1.500000000000000000e+00,5.000000000000000000e-01,1.600000000000000000e+01,2.300000000000000000e+01,1.300000000000000000e+01,1.056410256410256432e+00,8.443034628601639446e-02,5.808695652173913260e+01,1.023992094861660121e+03,9.043478260869564522e+00,2.679841897233200765e+00,2.500000000000000000e+01,-2.878264815885761552e-01,1.062034798556610227e+01
1.500000000000000000e+00,5.999999999999999778e-01,1.123076923076922995e+01,2.200000000000000000e+01,1.300000000000000000e+01,1.090225563909774431e+00,3.099794941900204659e-01,4.660869565217391397e+01,6.773399209486167365e+02,6.347826086956521507e+00,3.328063241106718806e+00,3.700000000000000000e+01,-4.518749128878678523e-01,8.996191879143093928e+00
1.500000000000000000e+00,6.999999999999999556e-01,1.023076923076922995e+01,1.800000000000000000e+01,1.300000000000000000e+01,1.300000000000000044e+00,1.959663865546218631e+00,3.800000000000000000e+01,4.360000000000000000e+02,5.782608695652173836e+00,2.359683794466403750e+00,2.900000000000000000e+01,-4.705446819408554138e-01,7.816362071791509436e+00
1.500000000000000000e+00,7.999999999999999334e-01,9.800000000000000711e+00,1.900000000000000000e+01,5.000000000000000000e+00,1.431818181818181879e+00,3.971987315010571784e+00,1.286956521739130466e+01,1.595731225296443085e+02,2.130434782608695787e+00,1.027667984189723382e+00,3.200000000000000000e+01,-3.993810543632762555e-01,3.700940917182334644e+00
1.500000000000000000e+00,8.999999999999999112e-01,8.142857142857142350e+00,1.500000000000000000e+01,1.400000000000000000e+01,1.189999999999999947e+00,6.201010101010100417e-01,2.930434782608695699e+01,4.816758893280632492e+02,4.956521739130434590e+00,4.498023715415018664e+00,3.000000000000000000e+01,-5.065095328752591275e-01,1.065393649004133714e+01
1.500000000000000000e+00,9.999999999999998890e-01,6.900000000000000355e+00,1.700000000000000000e+01,1.000000000000000000e+01,1.440677966101694851e+00,5.181765049678547896e+00,1.456521739130434767e+01,9.289328063241107714e+01,3.000000000000000000e+00,1.909090909090909172e+00,2.400000000000000000e+01,-5.842462034555977457e-01,5.647017260522862792e+00
2.500000000000000000e+00,1.000000000000000056e-01,1.710000000000000142e+01,2.300000000000000000e+01,1.000000000000000000e+01,1.024844720496894457e+00,3.687888198757763997e-02,9.647826086956521863e+01,2.328169960474308482e+03,7.434782608695652328e+00,8.932806324110668106e-01,3.500000000000000000e+01,-4.164702513155392749e-01,6.454895984429795952e+00
2.500000000000000000e+00,2.000000000000000111e-01,1.542857142857142883e+01,2.300000000000000000e+01,1.400000000000000000e+01,1.054455445544554504e+00,1.213979606915915610e-01,9.060869565217390686e+01,2.154249011857707956e+03,9.391304347826087806e+00,4.794466403162054746e+00,4.000000000000000000e+01,-2.537259106776360573e-01,8.355896902850762586e+00
2.500000000000000000e+00,3.000000000000000444e-01,1.257142857142857117e+01,2.300000000000000000e+01,1.400000000000000000e+01,1.086419753086419693e+00,1.167088413465224850e-01,7.078260869565217206e+01,1.361450592885375499e+03,7.652173913043478493e+00,1.418972332015810744e+00,3.300000000000000000e+01,-3.701363985548852265e-01,7.277441972920696500e+00
2.500000000000000000e+00,4.000000000000000222e-01,1.692307692307692335e+01,2.300000000000000000e+01,1.300000000000000000e+01,1.082125603864734220e+00,9.516439191407530251e-02,6.556521739130434412e+01,1.226347826086956502e+03,9.565217391304347672e+00,1.984189723320157972e+00,3.500000000000000000e+01,-2.893244245103787082e-01,1.098681131674111811e+01
2.500000000000000000e+00,5.000000000000000000e-01,1.466666666666666607e+01,2.300000000000000000e+01,1.200000000000000000e+01,1.176829268292682862e+00,1.115778841837498980e+00,5.095652173913043725e+01,6.341343873517785141e+02,7.652173913043478493e+00,1.600790513833991957e+00,2.500000000000000000e+01,-3.833953254963311519e-01,8.381653841455966258e+00
2.500000000000000000e+00,5.999999999999999778e-01,1.209090909090909172e+01,1.900000000000000000e+01,1.100000000000000000e+01,1.098360655737705027e+00,1.224766291830375331e-01,3.760869565217391397e+01,4.108853754940713543e+02,5.782608695652173836e+00,2.905138339920949164e+00,3.000000000000000000e+01,-4.899362854069066464e-01,7.706649067810592335e+00
2.500000000000000000e+00,6.999999999999999556e-01,8.900000000000000355e+00,1.900000000000000000e+01,1.000000000000000000e+01,1.291139240506329111e+00,1.747484582927621100e+00,2.365217391304347672e+01,1.839644268774703448e+02,3.869565217391304213e+00,6.640316205533596250e-01,4.000000000000000000e+01,-5.775789458994353698e-01,6.521082608503686373e+00
2.500000000000000000e+00,7.999999999999999334e-01,9.181818181818181657e+00,1.600000000000000000e+01,1.100000000000000000e+01,1.111111111111111160e+00,3.021223470661671406e-01,2.278260869565217561e+01,3.247233201581028084e+02,4.391304347826086918e+00,3.067193675889328119e+00,2.500000000000000000e+01,-5.551812919380852973e-01,6.904812295288485835e+00
2.500000000000000000e+00,8.999999999999999112e-01,7.299999999999999822e+00,1.100000000000000000e+01,1.000000000000000000e+01,1.523809523809523725e+00,3.898617511520737100e+00,2.000000000000000000e+01,1.241818181818181870e+02,3.173913043478260754e+00,1.059288537549407216e+00,2.500000000000000000e+01,-5.883390879459405864e-01,7.800931057415207093e+00
2.500000000000000000e+00,9.999999999999998890e-01,6.071428571428571175e+00,1.300000000000000000e+01,1.400000000000000000e+01,1.154929577464788748e+00,2.470824949698190165e-01,2.313043478260869534e+01,3.101185770750987558e+02,3.695652173913043459e+00,2.221343873517786172e+00,3.800000000000000000e+01,-6.280730941268374279e-01,8.633618581907089862e+00
3.500000000000000000e+00,1.000000000000000056e-01,1.775000000000000000e+01,2.300000000000000000e+01,1.200000000000000000e+01,1.019900497512437720e+00,1.960199004975124448e-02,9.865217391304348382e+01,2.234055335968379495e+03,9.260869565217390686e+00,1.474308300395256399e+00,6.100000000000000000e+01,-3.258115236330642595e-01,6.663798841301864506e+00
3.500000000000000000e+00,2.000000000000000111e-01,1.686666666666666714e+01,2.300000000000000000e+01,1.500000000000000000e+01,1.113445378151260545e+00,3.119703577633585190e-01,8.643478260869565588e+01,1.968347826086956729e+03,1.100000000000000000e+01,4.636363636363636687e+00,3.500000000000000000e+01,-1.018353135419149680e-01,1.103777844840112188e+01
3.500000000000000000e+00,3.000000000000000444e-01,1.415384615384615330e+01,2.300000000000000000e+01,1.300000000000000000e+01,1.157894736842105310e+00,1.239628482972136014e+00,7.421739130434782794e+01,1.322996047430830231e+03,8.000000000000000000e+00,1.181818181818181879e+00,4.800000000000000000e+01,-3.532264900438780719e-01,7.230536602806662216e+00
3.500000000000000000e+00,4.000000000000000222e-01,1.083333333333333393e+01,2.300000000000000000e+01,1.200000000000000000e+01,1.177966101694915224e+00,1.959510357815443582e+00,5.178260869565217206e+01,6.709960474308301173e+02,5.652173913043478493e+00,1.055335968379446765e+00,4.100000000000000000e+01,-5.079336848523987591e-01,4.757092222386316571e+00
3.500000000000000000e+00,5.000000000000000000e-01,1.639999999999999858e+01,2.200000000000000000e+01,1.000000000000000000e+01,1.097402597402597380e+00,1.277056277056276834e-01,4.430434782608695343e+01,6.036758893280632492e+02,7.130434782608695343e+00,3.845849802371539727e+00,3.900000000000000000e+01,-4.157064932647899780e-01,6.825696162551982304e+00
3.500000000000000000e+00,5.999999999999999778e-01,1.075000000000000000e+01,1.800000000000000000e+01,1.200000000000000000e+01,1.136752136752136710e+00,1.880341880341880045e-01,3.934782608695652328e+01,4.601462450592885602e+02,5.608695652173913082e+00,2.885375494071146463e+00,3.300000000000000000e+01,-4.806646552204408840e-01,8.395451933338806683e+00
3.500000000000000000e+00,6.999999999999999556e-01,8.666666666666666075e+00,1.700000000000000000e+01,1.200000000000000000e+01,1.380434782608695565e+00,2.348184424271381410e+00,3.243478260869564878e+01,4.092569169960473801e+02,4.521739130434782261e+00,3.351778656126481515e+00,3.400000000000000000e+01,-5.629440993344931865e-01,7.952295100732600375e+00
3.500000000000000000e+00,7.999999999999999334e-01,6.818181818181818343e+00,1.300000000000000000e+01,1.100000000000000000e+01,1.296875000000000000e+00,1.100942460317460236e+00,1.882608695652173836e+01,7.533201581027667260e+01,3.260869565217391131e+00,1.383399209486166237e+00,3.100000000000000000e+01,-6.120236562134949709e-01,6.177950987515687942e+00
3.500000000000000000e+00,8.999999999999999112e-01,4.285714285714285587e+00,1.100000000000000000e+01,1.400000000000000000e+01,1.195652173913043459e+00,3.386473429951690761e-01,1.530434782608695699e+01,1.804940711462450622e+02,2.608695652173913082e+00,2.339920948616601049e+00,2.400000000000000000e+01,-6.743031725732890891e-01,6.451801566579634439e+00
3.500000000000000000e+00,9.999999999999998890e-01,5.599999999999999645e+00,1.500000000000000000e+01,1.000000000000000000e+01,1.195652173913043459e+00,2.942028985507246230e-01,7.260869565217391575e+00,1.683794466403162104e+01,2.434782608695652328e+00,1.075098814229248578e+00,1.800000000000000000e+01,-6.366560633155742277e-01,5.502580389043271403e+00
4.500000000000000000e+00,1.000000000000000056e-01,1.359999999999999964e+01,2.300000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,9.865217391304348382e+01,2.547964426877470032e+03,5.913043478260869179e+00,5.375494071146245112e-01,5.300000000000000000e+01,-4.952689805630401398e-01,4.699129589924720740e+00
4.500000000000000000e+00,2.000000000000000111e-01,1.811111111111111072e+01,2.300000000000000000e+01,9.000000000000000000e+00,1.025974025974025983e+00,2.546473134708429273e-02,8.804347826086956275e+01,2.156952569169960043e+03,7.086956521739130821e+00,2.648221343873518041e-01,4.700000000000000000e+01,-4.318582014687308290e-01,5.542423488429958134e+00
4.500000000000000000e+00,3.000000000000000444e-01,1.433333333333333393e+01,2.200000000000000000e+01,1.500000000000000000e+01,1.070000000000000062e+00,1.558793969849245342e-01,7.469565217391304657e+01,1.418857707509881493e+03,9.347826086956521507e+00,2.418972332015810078e+00,3.600000000000000000e+01,-1.949922199528162370e-01,8.724294172971246653e+00
4.500000000000000000e+00,4.000000000000000222e-01,1.216666666666666607e+01,2.100000000000000000e+01,1.200000000000000000e+01,1.194029850746268551e+00,1.435753563012007517e+00,6.060869565217391397e+01,1.054339920948616509e+03,6.347826086956521507e+00,1.873517786561264886e+00,4.000000000000000000e+01,-4.356175454518451118e-01,5.795643661282428027e+00
4.500000000000000000e+00,5.000000000000000000e-01,1.250000000000000000e+01,2.000000000000000000e+01,1.200000000000000000e+01,1.202898550724637694e+00,9.220353326986144848e-01,4.926086956521739069e+01,7.313833992094861287e+02,6.521739130434782261e+00,2.533596837944664504e+00,3.800000000000000000e+01,-4.259437300289605766e-01,7.810557341907824025e+00
4.500000000000000000e+00,5.999999999999999778e-01,9.000000000000000000e+00,2.000000000000000000e+01,1.300000000000000000e+01,1.134615384615384581e+00,1.952949962658700744e-01,3.421739130434782794e+01,4.739960474308300036e+02,5.086956521739130821e+00,2.719367588932805724e+00,2.600000000000000000e+01,-5.184508804571705820e-01,8.352443964353227557e+00
4.500000000000000000e+00,6.999999999999999556e-01,7.333333333333333037e+00,1.600000000000000000e+01,9.000000000000000000e+00,1.403508771929824483e+00,3.566416040100248264e+00,2.321739130434782439e+01,3.819051383399209385e+02,2.869565217391304213e+00,1.754940711462450675e+00,3.900000000000000000e+01,-5.709022796794308574e-01,5.417450226502722010e+00
4.500000000000000000e+00,7.999999999999999334e-01,5.909090909090909172e+00,1.200000000000000000e+01,1.100000000000000000e+01,1.166666666666666741e+00,1.792452830188679958e-01,1.452173913043478315e+01,1.450790513833992179e+02,2.826086956521739246e+00,1.059288537549406994e+00,3.400000000000000000e+01,-6.515036837692448346e-01,4.881155095233915553e+00
4.500000000000000000e+00,8.999999999999999112e-01,3.600000000000000089e+00,9.000000000000000000e+00,1.000000000000000000e+01,1.269230769230769162e+00,3.646153846153846190e-01,1.021739130434782616e+01,1.251778656126482332e+02,1.565217391304347894e+00,7.114624505928853759e-01,3.400000000000000000e+01,-6.948885190513176546e-01,3.297948902482907396e+00
4.500000000000000000e+00,9.999999999999998890e-01,6.545454545454545858e+00,9.000000000000000000e+00,1.100000000000000000e+01,1.213114754098360670e+00,9.038251366120221286e-01,1.569565217391304301e+01,1.356758893280632492e+02,3.130434782608695787e+00,2.300395256916996534e+00,2.200000000000000000e+01,-5.960094942051540334e-01,8.102244389027431382e+00
5.500000000000000000e+00,1.000000000000000056e-01,1.450000000000000000e+01,2.300000000000000000e+01,8.000000000000000000e+00,1.037037037037036979e+00,3.599861543786776058e-02,9.952173913043478137e+01,2.342715415019763441e+03,5.043478260869565410e+00,3.162055335968380065e-01,6.600000000000000000e+01,-4.716846557229220638e-01,3.852163500436907473e+00
5.500000000000000000e+00,2.000000000000000111e-01,1.523076923076922995e+01,2.300000000000000000e+01,1.300000000000000000e+01,1.183783783783783683e+00,8.138660399529963341e-01,8.365217391304348382e+01,1.773691699604743235e+03,8.608695652173912194e+00,1.612648221343873534e+00,4.200000000000000000e+01,-3.306928566096259403e-01,6.776285714285714690e+00
5.500000000000000000e+00,3.000000000000000444e-01,1.514285714285714235e+01,2.300000000000000000e+01,1.400000000000000000e+01,1.080808080808080884e+00,1.051120340460441893e-01,7.495652173913043725e+01,1.356770750988142254e+03,9.217391304347826164e+00,2.996047430830039104e+00,2.800000000000000000e+01,-2.651595487278157748e-01,8.614750152257764526e+00
5.500000000000000000e+00,4.000000000000000222e-01,1.150000000000000000e+01,2.300000000000000000e+01,1.600000000000000000e+01,1.130952380952380931e+00,2.222697462218420350e-01,5.900000000000000000e+01,9.550909090909091219e+02,8.000000000000000000e+00,4.000000000000000000e+00,4.100000000000000000e+01,-2.278172676620824344e-01,7.723301378372479320e+00
5.500000000000000000e+00,5.000000000000000000e-01,1.300000000000000000e+01,2.300000000000000000e+01,1.200000000000000000e+01,1.062500000000000000e+00,5.900349650349650393e-02,4.839130434782608603e+01,5.992490118577075009e+02,6.782608695652173836e+00,2.814229249011857448e+00,3.900000000000000000e+01,-4.291658482441863542e-01,7.903799731783638371e+00
5.500000000000000000e+00,5.999999999999999778e-01,8.545454545454544970e+00,1.900000000000000000e+01,1.100000000000000000e+01,1.108433734939759052e+00,2.198060534822216527e-01,3.047826086956521863e+01,4.108972332015810025e+02,4.086956521739130821e+00,3.446640316205533239e+00,3.600000000000000000e+01,-5.804469166594716789e-01,6.396652414224632821e+00
5.500000000000000000e+00,6.999999999999999556e-01,1.011111111111111072e+01,2.100000000000000000e+01,9.000000000000000000e+00,1.182926829268292623e+00,2.500752785305631609e-01,1.943478260869565233e+01,1.231660079051383434e+02,3.956521739130434590e+00,1.407114624505928946e+00,2.700000000000000000e+01,-5.289020741669758774e-01,5.314619321817018793e+00
5.500000000000000000e+00,7.999999999999999334e-01,7.400000000000000355e+00,1.500000000000000000e+01,1.000000000000000000e+01,1.265625000000000000e+00,1.848958333333333259e+00,2.004347826086956630e+01,2.202252964426877213e+02,3.217391304347826164e+00,3.359683794466402862e+00,2.500000000000000000e+01,-5.569758758702882950e-01,6.606230529595015888e+00
5.500000000000000000e+00,8.999999999999999112e-01,5.000000000000000000e+00,1.000000000000000000e+01,1.100000000000000000e+01,1.340909090909090828e+00,1.997357293868922579e+00,1.313043478260869534e+01,1.023913043478260931e+02,2.391304347826086918e+00,1.703557312252964584e+00,3.500000000000000000e+01,-6.642041337836992465e-01,6.210001366306872939e+00
5.500000000000000000e+00,9.999999999999998890e-01,4.846153846153845812e+00,1.000000000000000000e+01,1.300000000000000000e+01,1.060000000000000053e+00,5.755102040816328229e-02,1.286956521739130466e+01,1.303003952569169996e+02,2.739130434782608869e+00,3.292490118577074742e+00,1.800000000000000000e+01,-6.823034606630210552e-01,6.879924361802710386e+00
6.500000000000000000e+00,1.000000000000000056e-01,1.325000000000000000e+01,2.300000000000000000e+01,1.200000000000000000e+01,1.054421768707483054e+00,6.551113596123379901e-02,9.926086956521739069e+01,2.585110671936759445e+03,6.913043478260869179e+00,1.355731225296443077e+00,6.100000000000000000e+01,-4.423700362691713184e-01,4.804994798238041653e+00
6.500000000000000000e+00,2.000000000000000111e-01,1.600000000000000000e+01,2.300000000000000000e+01,1.200000000000000000e+01,1.066666666666666652e+00,8.491620111731841558e-02,8.565217391304348382e+01,1.901055335968379268e+03,8.347826086956521507e+00,1.782608695652174058e+00,3.800000000000000000e+01,-3.464144421923919248e-01,7.664718342699515574e+00
6.500000000000000000e+00,3.000000000000000444e-01,1.423076923076922995e+01,2.300000000000000000e+01,1.300000000000000000e+01,1.180232558139534982e+00,1.786039711682306574e+00,6.973913043478260931e+01,1.230837944664031738e+03,8.043478260869564522e+00,1.407114624505929390e+00,3.700000000000000000e+01,-3.683661661807450804e-01,7.810011542433630716e+00
6.500000000000000000e+00,4.000000000000000222e-01,1.384615384615384670e+01,2.300000000000000000e+01,1.300000000000000000e+01,1.035928143712574911e+00,7.099054902243709386e-02,6.182608695652174191e+01,1.013150197628458386e+03,7.826086956521739246e+00,1.786561264822133621e+00,3.600000000000000000e+01,-3.749438978385569721e-01,7.841627730088014836e+00
6.500000000000000000e+00,5.000000000000000000e-01,1.425000000000000000e+01,2.300000000000000000e+01,8.000000000000000000e+00,1.075471698113207530e+00,1.847259658580412689e-01,3.330434782608695343e+01,3.339486166007905013e+02,4.956521739130434590e+00,1.407114624505928946e+00,2.600000000000000000e+01,-4.728387807749663274e-01,5.455129398622230674e+00
6.500000000000000000e+00,5.999999999999999778e-01,9.250000000000000000e+00,1.600000000000000000e+01,8.000000000000000000e+00,1.196969696969697017e+00,2.836829836829837248e-01,2.326086956521739069e+01,2.457470355731225879e+02,3.217391304347826164e+00,1.905138339920949164e+00,3.500000000000000000e+01,-5.227467728444888939e-01,4.923652281814421272e+00
