R0,sigma,avg_time,max_time,num_strains,avg_time_repeat,var_time_repeat,avg_prev,var_prev,avg_div,var_div,max_abundance,avg_npmi,div_all_isolates
1,0.1,-0.14,-0.26,-0.32,-0.49,0.09,-0.13,-0.08,-0.28,-0.08,-0.03,0.37,-0.44
1,0.2,-0.38,0.31,0.34,-0.31,-0.28,0.22,0.14,0.10,-0.31,0.14,-0.30,-0.24
1,0.3,0.37,0.29,0.08,-0.18,-0.43,0.07,-0.11,0.29,0.17,0.06,-0.05,-0.28
1,0.4,0.45,0.56,-0.02,-0.17,0.21,0.80,0.85,0.68,0.33,0.56,0.01,-0.46
1,0.5,-0.07,0.30,0.21,0.20,-0.08,0.45,0.45,0.38,0.32,0.53,-0.18,-0.52
1,0.6,0.06,0.42,0.04,-0.30,-0.38,0.17,0.30,0.14,0.37,0.35,-0.07,-0.22
1,0.7,-0.29,-0.33,-0.54,-0.21,0.05,-0.28,-0.11,-0.47,-0.37,-0.31,0.49,-0.16
1,0.8,-0.66,-0.61,0.37,0.41,0.36,-0.57,-0.51,-0.52,-0.05,-0.49,-0.38,0.31
1,0.9,-0.2,0.20,-0.27,0.02,0.10,-0.03,-0.29,-0.16,-0.45,0.07,0.22,-0.44
1,1,-0.39,-0.22,0.05,0.37,-0.04,-0.22,-0.32,-0.15,-0.28,-0.43,-0.09,0.24
2,0.1,0.04,nan,-0.03,0.22,0.13,-0.48,-0.71,0.03,0.09,0.16,-0.23,-0.43
2,0.2,0.09,nan,0.03,-0.03,-0.47,-0.75,-0.52,0.13,0.02,-0.39,0.15,0.24
2,0.3,-0.07,nan,0.64,0.49,0.16,-0.91,-0.89,0.59,-0.02,-0.49,0.61,0.63
2,0.4,-0.35,nan,0.22,-0.31,-0.49,-0.94,-0.80,0.02,-0.06,-0.43,0.00,0.26
2,0.5,-0.03,-0.52,0.36,0.77,0.64,-0.88,-0.77,0.16,0.52,-0.67,0.56,0.62
2,0.6,-0.32,-0.41,0.48,0.13,-0.02,-0.90,-0.88,0.18,0.76,-0.43,0.46,0.54
2,0.7,-0.24,-0.29,-0.23,0.54,0.30,-0.97,-0.95,-0.41,0.00,-0.47,-0.41,0.24
2,0.8,-0.1,-0.45,-0.08,-0.08,-0.17,-0.96,-0.93,-0.25,0.40,-0.66,-0.12,0.34
2,0.9,-0.32,-0.80,-0.45,0.77,0.53,-0.96,-0.92,-0.55,0.41,0.07,-0.43,-0.04
2,1,-0.56,-0.74,-0.17,0.85,0.66,-0.99,-0.96,-0.86,0.10,-0.32,-0.48,0.02
3,0.1,-0.39,nan,0.78,-0.13,-0.48,-0.25,-0.30,0.68,0.37,0.56,0.83,0.73
3,0.2,0.02,nan,0.19,0.04,0.04,-0.74,-0.83,0.28,-0.02,-0.80,0.26,0.69
3,0.3,0.59,nan,-0.40,-0.34,-0.48,-0.91,-0.88,0.00,-0.56,0.52,-0.34,0.01
3,0.4,0.3,nan,0.30,0.10,0.10,-0.94,-0.83,0.56,0.48,-0.67,0.43,0.74
3,0.5,0.08,nan,0.28,0.09,0.26,-0.92,-0.86,0.45,0.60,-0.68,0.39,0.73
3,0.6,0.14,nan,-0.42,0.31,0.52,-0.91,-0.87,-0.29,0.16,-0.32,-0.42,0.32
3,0.7,-0.19,nan,0.20,0.38,0.45,-0.96,-0.94,0.09,0.19,-0.60,0.15,0.30
3,0.8,-0.23,nan,-0.07,0.76,0.38,-0.97,-0.94,-0.25,-0.09,-0.53,-0.13,0.37
3,0.9,0.16,nan,0.44,0.57,0.12,-0.98,-0.97,0.45,0.65,0.26,0.40,0.73
3,1,-0.14,-0.41,0.08,0.87,0.62,-0.97,-0.98,-0.01,0.62,-0.65,0.02,0.36
4,0.1,-0.08,nan,0.23,0.16,0.05,-0.70,-0.64,0.23,0.41,-0.11,0.30,0.11
4,0.2,0.25,nan,0.37,0.65,0.47,-0.85,-0.62,0.80,0.70,-0.63,0.55,0.58
4,0.3,0.8,nan,-0.48,0.06,-0.17,-0.84,-0.72,0.16,0.35,-0.74,-0.33,0.51
4,0.4,-0.14,nan,0.43,0.38,0.42,-0.91,-0.79,0.48,0.27,-0.52,0.47,0.70
4,0.5,-0.17,nan,0.68,0.21,-0.24,-0.91,-0.85,0.68,0.65,-0.58,0.70,0.79
4,0.6,-0.66,nan,0.72,0.57,0.44,-0.95,-0.94,0.47,0.71,-0.19,0.67,0.56
4,0.7,-0.09,nan,0.55,0.18,-0.05,-0.99,-0.98,0.60,0.27,-0.29,0.56,0.75
4,0.8,0.14,nan,0.62,0.72,0.57,-0.98,-0.94,0.72,0.49,-0.21,0.69,0.84
4,0.9,-0.28,nan,0.22,-0.03,-0.49,-1.00,-0.97,0.02,0.73,-0.10,0.15,0.67
4,1,0.47,nan,0.29,0.30,-0.13,-0.99,-0.97,0.44,0.71,-0.84,0.31,0.64
5,0.1,0.2,nan,0.24,0.37,0.51,-0.72,-0.50,0.57,0.53,0.28,0.33,0.12
5,0.2,-0.4,nan,0.41,0.45,0.35,-0.80,-0.57,0.31,-0.24,-0.03,0.35,0.25
5,0.3,0.17,nan,-0.14,-0.39,-0.22,-0.80,-0.79,0.03,-0.33,-0.48,-0.09,0.30
5,0.4,0.39,nan,0.57,-0.18,-0.33,-0.89,-0.86,0.72,0.41,-0.78,0.67,0.78
5,0.5,-0.18,nan,0.44,-0.25,-0.48,-0.96,-0.88,0.31,0.50,-0.05,0.42,0.64
5,0.6,0.14,nan,0.00,-0.41,-0.52,-0.96,-0.96,0.09,0.17,-0.67,0.06,0.38
5,0.7,0.47,nan,0.70,0.37,0.18,-0.96,-0.92,0.72,0.33,-0.75,0.70,0.75
5,0.8,-0.05,nan,-0.18,0.22,0.30,-0.99,-0.99,-0.18,0.37,-0.35,-0.18,0.32
5,0.9,0.07,nan,0.68,0.02,-0.40,-0.97,-0.91,0.65,0.82,-0.14,0.69,0.77
5,1,-0.5,nan,0.53,0.84,0.85,-0.99,-0.98,0.42,0.70,-0.32,0.48,0.71
6,0.1,-0.24,nan,-0.39,0.30,0.41,-0.67,-0.49,-0.44,-0.42,-0.16,-0.50,-0.20
6,0.2,-0.04,nan,0.51,-0.03,0.13,-0.70,-0.76,0.44,-0.01,-0.39,0.61,0.49
6,0.3,0.4,nan,0.10,-0.46,-0.54,-0.72,-0.68,0.30,0.20,-0.03,0.23,0.47
6,0.4,0.3,nan,0.21,-0.18,-0.20,-0.91,-0.71,0.58,0.00,0.07,0.25,0.49
6,0.5,-0.02,nan,0.24,0.81,0.32,-0.96,-0.79,0.22,0.96,-0.23,0.24,0.39
6,0.6,-0.17,nan,0.72,0.50,0.50,-0.96,-0.88,0.59,0.49,0.08,0.68,0.70
6,0.7,0.27,nan,0.34,0.67,0.46,-0.96,-0.91,0.43,0.65,-0.79,0.41,0.66
6,0.8,-0.01,nan,0.27,-0.18,-0.37,-0.99,-0.95,0.29,0.54,-0.53,0.28,0.53
6,0.9,0.27,nan,0.70,0.84,0.71,-0.99,-0.98,0.59,0.73,0.09,0.66,0.75
6,1,-0.31,nan,0.63,0.81,0.73,-0.99,-0.97,0.45,0.86,-0.56,0.60,0.76
7,0.1,-0.28,nan,0.15,0.54,0.43,0.11,-0.18,-0.04,0.23,0.50,0.14,-0.32
7,0.2,0.08,nan,0.31,-0.24,-0.22,-0.61,-0.42,0.36,0.00,-0.16,0.39,0.57
7,0.3,0.42,nan,0.36,0.27,0.02,-0.83,-0.86,0.51,0.58,-0.38,0.47,0.54
7,0.4,0.7,nan,0.57,0.15,0.03,-0.89,-0.61,0.75,-0.23,-0.56,0.67,0.80
7,0.5,0.3,nan,0.65,0.08,0.12,-0.77,-0.60,0.80,0.10,-0.69,0.71,0.80
7,0.6,0.33,nan,0.38,0.28,-0.08,-0.96,-0.91,0.50,-0.12,-0.38,0.44,0.58
7,0.7,0.59,nan,0.03,0.15,0.03,-0.98,-0.95,0.33,0.29,-0.80,0.08,0.57
7,0.8,0.05,nan,0.35,0.06,-0.30,-0.99,-0.93,0.36,0.38,-0.69,0.37,0.54
7,0.9,-0.79,nan,0.52,0.89,0.83,-1.00,-0.98,0.40,0.75,-0.68,0.46,0.65
7,1,-0.22,nan,0.09,0.46,0.67,-0.99,-0.99,0.00,0.54,-0.72,0.01,0.56
8,0.1,-0.14,nan,-0.18,0.41,0.42,-0.40,-0.25,-0.21,0.14,0.51,-0.15,-0.32
8,0.2,0.43,nan,-0.03,0.27,0.34,-0.60,-0.48,0.30,0.20,-0.31,0.06,0.27
8,0.3,0.47,nan,0.36,-0.08,-0.01,-0.83,-0.75,0.59,-0.20,0.03,0.43,0.47
8,0.4,0.53,nan,0.10,-0.32,-0.47,-0.81,-0.62,0.54,0.30,0.21,0.27,0.67
8,0.5,0.41,nan,0.19,0.19,0.12,-0.90,-0.87,0.38,0.08,-0.27,0.28,0.54
8,0.6,0.19,nan,0.80,0.48,0.21,-0.97,-0.93,0.68,0.56,-0.53,0.79,0.81
8,0.7,0.56,nan,-0.09,-0.51,-0.50,-0.95,-0.91,0.27,-0.13,-0.32,0.01,0.68
8,0.8,0.31,nan,0.70,0.13,-0.49,-0.99,-0.97,0.61,0.47,-0.74,0.67,0.74
8,0.9,0.2,nan,0.68,0.51,0.33,-0.99,-0.96,0.55,0.52,-0.59,0.66,0.76
8,1,0.36,nan,nan,0.44,0.26,-1.00,-0.99,0.36,0.31,-0.64,0.18,0.62
9,0.1,-0.32,nan,-0.10,0.63,0.56,-0.11,-0.56,-0.33,0.67,0.40,-0.15,-0.31
9,0.2,0.79,nan,0.14,-0.60,-0.54,-0.74,-0.58,0.71,0.41,-0.61,0.48,0.72
9,0.3,0.8,nan,-0.23,-0.48,-0.09,-0.85,-0.78,0.23,0.33,-0.44,-0.05,0.32
9,0.4,0.38,nan,0.65,-0.10,-0.34,-0.80,-0.59,0.60,0.31,-0.22,0.65,0.69
9,0.5,0.47,nan,0.37,-0.57,-0.55,-0.91,-0.84,0.60,-0.13,-0.32,0.44,0.77
9,0.6,0.25,nan,0.68,0.32,-0.16,-0.95,-0.92,0.67,0.42,-0.63,0.69,0.82
9,0.7,0.36,nan,0.52,0.23,0.06,-0.97,-0.91,0.65,0.21,-0.33,0.64,0.75
9,0.8,0.42,nan,0.41,0.19,0.34,-0.98,-0.93,0.42,-0.03,-0.71,0.48,0.65
9,0.9,0.74,nan,nan,0.56,0.62,-1.00,-0.98,0.74,0.43,-0.62,0.46,0.72
9,1,-0.8,nan,0.52,0.76,0.64,-1.00,-1.00,0.23,0.47,-0.58,0.43,0.65
10,0.1,0.34,nan,-0.39,-0.37,-0.31,-0.41,-0.33,-0.27,0.08,-0.05,-0.33,-0.17
10,0.2,-0.21,nan,0.00,0.08,0.28,-0.57,-0.41,-0.29,0.04,0.25,-0.05,0.00
10,0.3,0.25,nan,0.33,-0.54,-0.27,-0.77,-0.21,0.50,-0.40,-0.34,0.44,0.64
10,0.4,0.67,nan,0.57,-0.01,-0.10,-0.80,-0.78,0.78,0.33,-0.20,0.69,0.87
10,0.5,0.36,nan,0.70,-0.11,-0.15,-0.95,-0.86,0.77,-0.05,-0.60,0.73,0.85
10,0.6,-0.01,nan,-0.52,-0.10,-0.35,-0.97,-0.89,-0.47,0.29,-0.42,-0.49,0.07
10,0.7,0.37,nan,nan,0.40,0.32,-0.98,-0.94,0.37,0.46,-0.51,0.34,0.80
10,0.8,0.37,nan,0.52,-0.16,-0.42,-0.99,-0.98,0.61,-0.28,-0.23,0.49,0.63
10,0.9,-0.76,nan,0.41,0.70,0.59,-1.00,-0.98,0.01,0.53,-0.66,0.32,0.63
10,1,-0.47,nan,nan,0.47,0.51,-0.99,-0.99,-0.47,0.42,-0.56,-0.28,0.91
11,0.1,-0.64,nan,0.22,0.15,0.22,-0.54,-0.48,-0.30,-0.14,0.47,0.17,-0.03
11,0.2,-0.1,nan,0.19,0.10,-0.03,-0.52,-0.48,0.12,0.03,-0.46,0.14,0.26
11,0.3,-0.23,nan,0.73,0.37,0.25,-0.88,-0.65,0.55,0.23,0.03,0.76,0.77
11,0.4,0.45,nan,0.17,0.31,0.27,-0.95,-0.73,0.49,0.01,-0.55,0.33,0.69
11,0.5,0.36,nan,0.52,0.35,0.26,-0.98,-0.95,0.60,0.22,-0.30,0.55,0.70
11,0.6,0.68,nan,nan,0.06,0.00,-0.98,-0.93,0.68,-0.06,-0.03,0.60,0.78
11,0.7,-0.13,nan,0.72,0.35,0.32,-0.97,-0.92,0.70,0.17,-0.67,0.74,0.86
11,0.8,0.2,nan,nan,-0.15,-0.24,-0.98,-0.97,0.20,-0.07,-0.14,-0.10,0.60
11,0.9,-0.34,nan,nan,-0.14,-0.08,-0.99,-0.97,-0.34,-0.31,-0.45,-0.36,-0.01
11,1,0.32,nan,nan,0.36,0.38,-0.99,-0.99,0.32,0.02,-0.62,0.24,0.70
12,0.1,-0.25,nan,-0.27,-0.06,0.32,-0.02,-0.52,-0.52,-0.25,0.10,-0.31,-0.23
12,0.2,-0.63,nan,0.19,0.39,0.44,-0.74,-0.41,-0.06,-0.23,-0.58,0.16,0.19
12,0.3,0.32,nan,0.47,-0.38,-0.62,-0.74,-0.68,0.62,0.62,-0.08,0.54,0.58
12,0.4,0.51,nan,0.50,-0.67,-0.60,-0.77,-0.72,0.67,-0.26,-0.31,0.62,0.81
12,0.5,0.55,nan,0.26,-0.42,-0.42,-0.96,-0.93,0.77,-0.36,-0.66,0.52,0.78
12,0.6,-0.45,nan,0.35,0.16,-0.05,-0.95,-0.85,0.25,0.73,-0.56,0.39,0.76
12,0.7,0.32,nan,nan,0.55,0.45,-0.98,-0.95,0.32,0.32,-0.42,0.53,0.71
12,0.8,-0.19,nan,0.29,0.05,-0.03,-0.98,-0.98,0.24,0.40,-0.44,0.28,0.81
12,0.9,-0.03,nan,0.52,-0.34,-0.13,-0.99,-0.98,0.53,0.14,-0.62,0.46,0.66
12,1,0.26,nan,0.41,0.03,0.03,-1.00,-0.99,0.57,0.64,-0.55,0.45,0.73